r_knee_range,l_knee_range,r_knee_avg,l_knee_avg,knee_asymmetry,r_hip_range,l_hip_range,r_hip_avg,l_hip_avg,hip_asymmetry,r_ankle_avg,l_ankle_avg,torso_angle_mean,torso_angle_max,hip_y_range,knee_depth_left,knee_depth_right,knee_width_mean,hip_width_mean,frames,label
70.98657663285807,59.9610369612145,152.08111603494976,150.2703397418304,4.800702553269581,89.73238631102163,85.00162505986849,160.9006116610289,164.50958972394244,3.955456483466688,162.29500442799218,154.5857427488198,8.85412123275551,38.142927672384424,28.5,281.0,285.0,24.19298245614035,33.175438596491226,57,correct
55.26954090689689,63.44409600535489,151.8090976440828,154.49575554811898,3.914973295813695,72.17571923419048,78.54663920562979,164.49194807636113,165.72985664430644,3.426403044088084,163.6694944891301,155.6834851485237,9.1861605920178,33.62488464932253,28.0,283.0,285.0,20.107142857142858,35.785714285714285,56,correct
13.434495766629198,17.491100958232437,173.5770059308232,176.10353604255644,4.874246554719345,17.589693062573474,14.165502982421003,174.1963227043723,173.94844721993255,3.3489841958863167,176.70270653912988,174.32461787632192,2.866906552039659,9.87660120316085,18.0,321.0,325.0,6.739130434782608,16.91304347826087,23,correct
17.866011599076018,14.760982711286573,173.07632775340844,171.13306630846353,8.26488622796809,20.058223714610676,10.438219538452472,166.61096044651774,173.18354943394368,7.721894625793818,174.74299203289047,162.97293516329492,5.688807909400896,8.056834170446724,9.0,327.0,329.0,22.416666666666668,32.25,12,correct
16.779630839597814,18.757673542274716,164.65185743013572,164.19704437023,3.805913363156525,22.53566401931019,32.64771165805456,172.31271126515176,175.2317062920935,4.602190217588813,166.48265678026175,164.94063601645823,3.5586422804207176,17.269467780359545,15.5,325.0,322.0,32.82608695652174,34.41304347826087,46,correct
20.29423181879949,15.998517953995304,166.4258508047227,167.99111793497704,3.339916063761034,14.895033065468908,6.546009903576959,172.83526581785185,175.77443142496338,5.576709700170307,165.68408581230076,167.80343292091808,3.438166284776799,7.9575252705664585,10.5,328.0,330.0,23.90909090909091,22.90909090909091,11,correct
17.574826134424626,18.63008171998578,166.2685762048029,168.87611168433313,3.088823722479418,15.235974383809292,14.734070564823497,172.81848964433732,174.06142629643128,3.0864891004513932,167.65266327774677,169.8596981274971,4.524161196823311,10.384020719824353,8.0,324.0,330.0,21.272727272727273,22.09090909090909,11,correct
13.933048771621259,14.202543361611788,170.93158983072234,171.4165960563461,3.815002326740359,11.715711687876933,12.283821155811609,170.99718075571104,173.3421786914004,3.8128613717686664,170.8405546603689,169.9397793926859,5.352216865698667,8.383248521417647,8.0,331.0,331.0,29.473684210526315,31.57894736842105,19,correct
113.850338753526,114.00227390610365,138.38699188149215,138.68877800331126,3.7336740910174506,99.32239811347405,99.01689369239395,148.52493534473365,149.18847763581653,4.092252062702616,156.5091007767399,156.94339503882264,11.778016411222044,31.883563886925288,59.5,329.0,329.0,5.483870967741935,5.387096774193548,31,correct
103.60522124994029,108.60746512334254,148.25255123933718,147.97453664895014,3.103568227960124,99.46945439283881,95.31270613614264,157.5940246895724,158.23608755492046,2.9874593497902695,159.07863669037803,159.74023356355104,8.42914181106193,31.469506911442924,55.0,326.0,326.0,3.25,4.708333333333333,24,correct
117.22121490500993,111.82712064733003,150.76247511979514,151.10038023528156,3.278012965629509,87.00723277922084,89.76319150063706,161.69576559036798,159.17043044704047,4.216957745962494,162.5814644441625,163.42470497087677,7.240463513648647,24.19320900414795,76.5,319.0,317.0,9.068965517241379,9.724137931034482,29,correct
113.83834524586806,113.09818216121545,155.64230661893194,154.79197022433686,3.4659262646409026,100.56818147445198,99.58650007753182,166.75240711175013,166.50583787078682,3.2949938090539406,162.52172285304619,163.33817410916095,6.353866562448531,29.167613393475172,68.5,321.0,324.0,9.058823529411764,10.588235294117647,34,correct
140.3947312855571,144.35653896288153,134.0852304050245,140.5762386879277,6.575399413691415,130.73074960217048,129.09246665415995,143.10400669918542,141.39795739290258,3.8585509310466755,160.7885646799107,162.0890055773205,13.191338092827728,38.03653148136017,105.5,304.0,308.0,10.742857142857142,20.885714285714286,35,correct
127.71723675669882,142.54880168969092,135.7388222773127,138.87613588808102,5.263641078257818,139.76664067995574,146.2787856288276,135.6433654732743,132.45533840744372,3.8963027743092757,160.2731919080342,160.49554535294058,22.593670625139545,73.56758431039871,103.0,306.0,307.0,14.586206896551724,21.93103448275862,29,correct
138.10792483752516,144.47143779841153,150.87216191129104,154.9085269854926,4.487325144187306,141.3959084483895,142.60214931867154,154.252096650732,151.32853671016065,3.2825618429147227,166.01032798756407,165.08121307837297,14.760042140547005,55.32358895813608,100.0,305.0,305.0,20.0625,30.229166666666668,48,correct
142.8978545676974,140.95341928991417,132.11954251278664,135.72914858574458,3.8540647955627616,131.14804139731098,137.13677272158498,132.880372351756,130.47280791632204,3.3418974049941346,161.0662364025493,163.01593650926682,20.132735253270667,48.13635837329842,106.0,303.0,304.0,8.5,11.6875,32,correct
135.3549435445334,140.11752022803392,151.15380716533292,155.77760313612131,5.138891269325562,139.993712498815,141.74255547025837,154.4365468850542,154.0339858447235,3.419263879952314,166.00000659391696,167.60517142809908,11.148879438501305,53.77505574841681,102.0,298.0,303.0,11.984615384615385,17.692307692307693,65,correct
138.8729945114485,141.8796510070964,148.21321228312038,148.54132972459078,4.868854083327921,138.20024569225757,144.69853126564053,142.97305386488284,142.67421866744425,6.604389117841331,165.5930806998688,164.88487538552283,17.276688432943512,50.55297103764487,108.0,300.0,300.0,30.25,23.35,40,correct
83.2522100292558,87.90354269978934,136.99723469198878,142.04461094312143,5.10109503123767,73.52361847446763,84.53747792920271,139.98865376649846,139.21892212787088,5.152470064953121,160.65449976150296,162.03874527283614,18.46065090526334,34.96842227587603,42.0,307.0,314.0,5.72,13.36,25,shallow_depth
89.89971283118399,88.02437001132789,140.03949995042208,143.1567005351402,4.301011660218593,87.09335962362019,87.49911294549108,142.55983057858575,141.1238255321667,2.5156153226236895,161.60177513890832,164.3250971615626,16.746553830651425,40.15599963140685,53.5,308.0,313.0,4.642857142857143,7.321428571428571,28,shallow_depth
