r_knee_angle_range,l_knee_angle_range,r_ankle_y_range,l_ankle_y_range,hip_stability_var,knee_hip_dx_mean,frames,label
135.14256279640796,135.14256279640796,249.0,249.0,1205.2285352010629,258.0989010989011,91,correct
61.087538623206,63.866081082381754,66.0,69.0,1.5762560090489215,126.24271844660194,103,correct
76.16514681495457,80.15005780626794,78.0,80.0,1.8355860726643602,124.25735294117646,136,correct
91.00629519584571,81.15163426252315,68.0,70.0,11.804412070759625,114.86451612903225,155,correct
85.35345593271298,79.88872978418003,70.0,72.0,9.830606781677574,114.07926829268293,164,correct
92.20049584017758,77.13513372382259,77.0,74.0,9.602069082480636,112.62406015037594,133,correct
93.87416335955957,80.6902234747454,78.0,71.0,6.334637342825445,109.73557692307692,208,correct
93.58079860043226,80.45636787510634,78.0,69.0,6.2068617078993045,109.28645833333333,192,correct
92.1327819039781,83.38206510120868,76.0,68.0,3.7210559965901218,108.66423357664233,137,correct
89.01939707049108,77.12363189144263,75.0,69.0,3.974922839506173,108.99305555555556,144,correct
60.38262580852836,63.13351293394831,64.0,68.0,2.016076087871391,125.41284403669725,109,partial_extension
61.537415501057694,56.34586425876502,48.0,48.0,2.0919027546318993,124.68316831683168,101,partial_extension
59.25577927265013,56.327069953094025,44.0,47.0,2.5577578588562053,119.35955056179775,89,partial_extension
78.91861173027021,72.94206894684581,54.0,59.0,1.8003755786531574,119.10280373831776,107,partial_extension
64.30226723512564,66.98349239421509,39.0,62.0,5.138636936255984,119.39682539682539,126,partial_extension
55.76486499111381,59.568318535960245,38.0,41.0,0.8660371011149561,121.07843137254902,102,partial_extension
68.85874593411098,74.15066958312836,66.0,65.0,1.9633091517857142,121.52678571428571,112,partial_extension
47.4247237665591,47.98840386087345,35.0,31.0,0.9980340264650283,122.10434782608695,115,partial_extension
44.05976060519242,54.15067389108782,21.0,41.0,0.8247750865051898,120.69411764705882,85,partial_extension
46.537090061191435,49.389315968416525,38.0,39.0,0.971621784808598,120.01098901098901,91,partial_extension
22.72050787502502,67.87572275165056,14.0,61.0,0.8722222222222223,122.53333333333333,120,partial_extension
66.46778588783548,62.205209646233655,55.0,57.0,1.2932942708333333,119.51041666666667,96,partial_extension
89.65103983437552,86.32032033449669,78.0,79.0,19.48435899187214,114.73553719008264,121,too_fast
87.11172960792614,77.32606183582486,78.0,74.0,3.6090234375000003,117.2875,80,too_fast
92.0222611423643,86.65090971489875,83.0,79.0,3.1907440409890837,118.1044776119403,134,correct
85.02108218987156,84.73097015978453,89.0,83.0,7.282909078988346,115.22672064777328,247,correct
111.1995165060167,108.58604067315605,83.0,78.0,160.72772903033913,117.77439024390245,164,partial_extension
92.12459465711042,81.45215289862026,83.0,82.0,5.317844660916121,116.47560975609755,164,correct
85.51525144845252,79.19673124414281,87.0,86.0,5.373788255087325,115.63924050632912,158,correct
91.65542087011951,86.71452788315753,82.0,80.0,5.402735113421549,116.57608695652173,184,correct
92.43833644463459,84.44572524416239,77.0,77.0,4.512366863905326,115.93076923076923,130,correct
94.86475900767387,95.34573349516558,115.0,109.0,3.1033136094674565,112.0923076923077,65,too_fast
64.04981310494003,65.88822471495095,82.0,80.0,6.311874999999999,114.975,40,partial_extension
93.68140228690446,93.71108837216073,118.0,109.0,3.0920408163265303,112.82857142857142,70,too_fast
97.30294634748715,92.81905312755069,87.0,87.0,3.069263787721124,112.88709677419355,62,too_fast
94.9690536971607,93.35830857661944,128.0,121.0,2.8586033950617287,112.83333333333333,72,too_fast
95.07745806241464,96.05739449507377,98.0,109.0,3.9830994897959187,113.55357142857143,56,too_fast
96.3717577809558,93.45613774732715,121.0,112.0,1.9154064272211713,108.41304347826087,46,too_fast
93.71772468233382,93.38514632724915,101.0,106.0,2.812414266117969,111.57407407407408,54,too_fast
94.77318856381164,91.40640757465493,100.0,102.0,1.8136,112.16,50,too_fast
94.57902385943748,94.80957953846483,108.0,105.0,3.4183673469387754,112.59183673469387,49,too_fast
91.55295702777248,85.64790524475583,80.0,76.0,2.480623818525519,110.02173913043478,46,too_fast
137.38122309951657,136.5568075056253,91.0,89.0,3.2451923076923075,120.7051282051282,156,correct
119.26712024430395,76.3642303764782,88.0,82.0,1.0868809073724006,120.11304347826086,115,correct
88.19413164052698,86.73935762249448,87.0,84.0,1.1766863905325446,120.53846153846153,130,correct
143.0864254926668,142.749288455822,87.0,83.0,1.648836950059453,120.35344827586206,116,correct
150.30604429537755,83.77708715276214,96.0,87.0,3.9591348104861614,123.64864864864865,111,correct
64.56380960524945,60.820694925317554,61.0,77.0,2.5435992578849724,122.81818181818181,77,partial_extension
67.65432255185186,65.5166508974618,63.0,63.0,6.302515622496393,123.83544303797468,79,partial_extension
72.90191728972083,69.9727826877611,67.0,67.0,6.44138888888889,122.05555555555556,90,partial_extension
66.83769036743243,49.14062644589626,55.0,34.0,1.506931316950221,122.02898550724638,69,partial_extension
85.93895716432051,84.40066204636044,93.0,100.0,4.84573002754821,122.22727272727273,66,partial_extension
80.2279159308914,76.59421920537642,102.0,98.0,5.269972451790634,126.0909090909091,66,partial_extension
81.11432013647075,77.22302846263369,104.0,103.0,4.494513031550069,127.4074074074074,54,too_fast
78.02004874426234,77.1371098307221,97.0,105.0,2.429845422116528,125.82758620689656,29,too_fast
67.2223168699393,68.81603864420624,86.0,95.0,4.545288531775018,119.94594594594595,37,too_fast
94.65062316928706,81.9653207287996,99.0,110.0,5.28634066587396,117.51724137931035,58,too_fast
73.27058256239408,69.72371162265864,91.0,99.0,7.391274238227151,122.0,38,too_fast
82.88823289042548,81.53040488247571,100.0,108.0,8.14792899408284,120.4423076923077,52,too_fast
