r_shoulder_range,l_shoulder_range,r_elbow_avg,l_elbow_avg,wrist_y_range,shoulder_asymmetry,torso_angle_mean,frames,label
72.90930126876785,24.34420145493667,164.7467300200796,159.00031880324744,220.0,5.344779999977704,2.123544663214396,32,correct
98.40721797582614,46.37690698301029,165.7070599318204,160.15296304740502,227.0,6.365731767389459,1.9871969727604835,25,correct
32.80946916092531,8.356588029785833,160.89593578965503,154.76392284250747,191.0,4.874267343876325,3.244025078401369,24,correct
25.701635312073243,27.479692624180124,164.92548114601306,160.10841439460722,171.0,3.261578226123878,4.659159150407845,20,correct
29.529683243504085,16.289135589669808,152.58835447518294,136.87811934154567,187.0,6.518610497492557,3.238586708510261,14,correct
126.18304839937463,99.95492431401136,159.94640325451192,158.21246262465087,229.0,4.256452361195196,2.5456870761494073,23,correct
16.60706880073025,15.534200557044212,170.9615223321176,168.6760304707319,74.0,2.2824417175602134,2.5061711076687887,19,correct
16.775411058745856,12.200646439657643,169.3249642697981,165.97660419958703,70.0,2.4606228241478627,3.873299989069012,20,correct
10.66034472941756,9.81978605906449,169.54693735935052,171.79433316479953,49.0,4.857645855877296,0.8580216709904682,13,correct
11.049093506251747,9.364179465044352,167.44443843982106,171.8187845612701,46.0,4.494087169166337,1.2932943182865586,17,correct
50.84779912795038,21.816241250517315,156.31986308364424,140.00721335144243,186.0,8.524517801383405,1.9047897846726738,12,correct
35.201700730976825,21.173588398206203,162.1021326326375,159.22218215788956,193.0,6.0429205709102005,3.0641038200412773,15,correct
7.465659061571259,9.487093404534516,169.30197511403608,167.141471923726,75.0,2.035646338611575,2.9321819526784867,13,correct
19.500295352333158,20.277501104178697,164.85340232171745,162.74602198223576,170.0,4.654484457307536,2.8831632283659827,18,correct
23.513650354963843,10.50139834272822,159.62916386656647,153.03171794516842,186.0,7.585743148146766,1.9712551256281459,14,correct
14.920382482171501,18.19354018443458,164.69250498349888,163.11825976759584,168.0,6.62536404044022,1.8965621687994663,14,correct
45.99576127307928,37.07951540060844,159.32218352186518,153.12179222438598,195.0,5.826006297368132,3.2149859637997715,14,correct
41.42175119175491,24.469621350239503,152.37048067674016,141.16589602762653,200.0,9.388239815072312,2.8010545696264333,19,correct
52.355019231045056,37.78521625717373,163.19639212000507,159.4151488821028,194.0,5.30068578983477,2.6999463003412045,9,correct
28.931105544211977,11.927955055094014,162.51996167487874,158.54212618542255,163.0,3.762889075910974,1.941313633837093,22,correct
39.468551340736965,26.797232381177032,158.33010460591635,149.00318121412423,181.0,5.828768035534672,2.321887782893115,19,correct
17.880832539794433,20.93643671269982,172.02799803083198,170.299388999178,79.0,2.586473979431775,2.5844803555585747,14,correct
30.606341201123044,29.721099179514518,156.175571939584,147.26658195105958,174.0,6.626642356408038,2.370911017902887,12,correct
39.85607080544452,26.646866047688437,157.44614219284912,154.0017591328475,186.0,4.8900545886286135,3.0525076441588928,13,correct
38.3782389628647,17.961661198706135,158.53158278178472,151.53980418611445,186.0,6.660066327173125,1.6874124740281957,15,correct
13.659858529551013,21.9111161669322,159.1766815882879,148.8926700739595,135.0,4.392307654505714,2.512647001067483,15,bent_elbow
16.313447678663294,20.008926991130988,162.63780328668716,163.36509873731936,163.0,1.9505913569631248,1.9247979813758695,18,bent_elbow
8.543785003039403,12.477180616553149,173.01014482602343,170.24688373527775,49.0,3.734960648960645,2.3956120369018388,13,bent_elbow
19.324950473126147,17.4699727704848,158.5917928081605,159.99868993170878,140.0,2.421927556902261,2.292045521328893,22,bent_elbow
13.487060487008147,14.831539062956217,166.8078041362084,165.83158149965584,153.0,1.7645225535774434,2.4632360518788023,17,bent_elbow
16.78154109505264,13.222617881171296,148.90797302825354,145.47884890796928,159.0,1.4255269281398895,3.1837151226062415,17,bent_elbow
13.000403709608864,14.633197989138534,155.89410965888916,151.64987287583557,162.0,2.8827721119148393,2.3300053201796005,20,bent_elbow
32.4183273230081,26.278696907020105,144.90118806748714,141.05674059912556,165.0,3.3727318825018626,2.6518454480450537,35,bent_elbow
17.821131894014563,18.334789073405158,154.65049647135564,152.00645354121582,149.0,2.600531244109604,2.805642790932948,21,bent_elbow
19.253005427925082,19.073407037662026,152.33645658299847,148.493593958219,171.0,2.031334012081716,2.556084798076142,24,bent_elbow
22.311509482954474,24.16030062235087,161.83102276640338,161.1683027498054,166.0,2.860055091033365,2.2143748761185122,22,bent_elbow
28.98173173556209,29.874505580679703,145.74771432184784,138.82143998597834,161.0,3.2541824934158017,3.254501507364525,16,bent_elbow
34.508672552630635,35.70538706343386,132.57934187264112,132.2513149238972,185.0,2.9505680294613246,2.166314964733235,16,bent_elbow
23.229548421107943,17.36278817043716,131.37529845927577,129.26713667535967,172.0,3.162700859428153,3.0493110218781436,27,bent_elbow
17.653420660656465,17.0418028985472,132.55312233840166,132.35915840179368,172.0,2.3727875925396718,3.988928824490721,31,bent_elbow
14.529734446715516,12.332985299562878,109.44070834789117,105.27412461165778,168.0,2.321981954301996,4.308925400697418,22,bent_elbow
11.216537924101598,10.626323757769054,130.9723255059331,129.41959735380848,164.0,1.751829199107203,4.24101813750989,20,bent_elbow
11.579836304949794,11.799875155969001,123.70585322516118,119.52635478216365,170.0,2.597440636542739,4.630912261535361,17,bent_elbow
38.77421981650396,30.891640463933044,130.56926460089343,116.58714834943368,203.0,7.0053555802027505,4.655937157253025,18,bent_elbow
33.02516100677471,22.197411071109048,148.53027068637238,138.14842141311823,193.0,6.108424056861226,4.756232990609842,15,bent_elbow
29.783491206603326,20.39054804061467,147.1979831530316,140.0320700186858,195.0,5.1340882681359945,4.584784241993582,16,bent_elbow
5.694121576853025,6.168470164160123,166.41633383453652,166.04183293717657,148.0,1.4837398076235997,4.350362123684369,14,bent_elbow
26.949438302493476,19.16297329131119,139.46690380931918,135.88180579474798,180.0,2.8350747517918236,4.296796412603326,18,bent_elbow
34.04763866157875,26.40325694223985,154.52702164235453,140.62291383403084,186.0,5.76514763205634,4.616807728699346,23,bent_elbow
31.328120490152344,21.11092426323478,157.88283544794112,147.5781493302744,178.0,4.422252005269991,4.212302829249072,20,bent_elbow
21.498720777698697,19.75172058136635,138.7586696013274,125.8398671635531,184.0,2.9028827120222025,4.760590245880823,21,bent_elbow
4.844879144243926,4.366291772126598,176.85804149375636,165.6944919972554,40.0,5.112491104818735,2.7840610392520255,10,low_range
5.514165786033715,14.245486435196863,175.97988798109688,162.54692431527351,43.0,4.547532925202579,3.237979276285359,4,low_range
7.069897402952652,10.587009857581041,177.07837562542704,167.9415356899934,38.0,3.7973148864219852,2.75573382784454,11,low_range
9.647257913831183,10.026828252184561,174.49037423719074,170.5893447242815,46.0,2.3853542728275414,2.918707963218359,10,low_range
36.52353344630647,28.589191369113685,165.42588675430588,156.27068974715675,168.0,4.947970907293678,3.008752736900359,8,low_range
11.502259812610195,14.818167699214605,176.1336907864694,172.88573268652743,65.0,2.5905515051180634,3.6084203597200784,8,low_range
12.301612339600556,11.315060482029075,177.10799360273177,174.86488564776022,44.0,1.5232434373403885,3.2729911521019424,13,low_range
6.074985874096701,11.806225202937402,176.27799471997054,171.7138747670943,32.0,5.3996995671487396,3.0858721556201574,17,low_range
5.054977857296187,4.7439827582070215,176.43155068303594,166.54405782282743,21.0,5.946353674388709,2.675186800696344,8,low_range
2.9908642207799154,4.559784521645103,178.2612022120961,165.85194086858104,25.0,7.380236023683703,2.750574120662475,8,low_range
7.0129851891527295,14.511763345588946,175.78399551372664,159.13685034407447,47.0,9.516103319582319,3.5245243085546014,10,low_range
12.709653058442868,8.063449306855269,176.72692081066305,168.03028890446933,43.0,4.629996412972195,2.195230103340271,8,low_range
4.910325022096252,12.170465297288967,176.86401281555365,161.61362173764016,48.0,6.874102620591045,2.928558194767815,11,low_range
3.960205818569012,8.518540935270206,176.26936458728767,164.5120849249658,40.0,5.188126202284,2.9153955418134925,9,low_range
13.23867219680379,12.91328920697848,177.08233358234483,164.46691365765898,80.0,5.862280301028916,2.6296254370110925,14,low_range
8.451536834659358,4.031299924911217,172.38686391789196,174.23129531517648,50.0,2.3190857916948118,4.393129592064263,10,low_range
3.3360162811560023,4.01369516045067,172.25127362752752,171.4008717169238,34.0,1.535055423958598,4.7946334100108805,7,low_range
4.5037814127875,9.169624019100489,178.38948129932555,176.01040085861047,31.0,2.9470078412400627,2.6910508622581566,10,low_range
4.63270170422901,6.9173318136707564,174.9661937484963,175.1828964406044,36.0,2.866992392819319,2.1921243636245618,13,low_range
2.1294896070993374,4.512789645962879,177.31340514306726,175.48044490859908,30.0,2.3639209609216083,2.018826200818631,9,low_range
4.347349129512796,6.558194403213456,176.9200233399377,176.31838135787973,33.0,2.1328332291687766,2.670245741122308,13,low_range
9.635805269304985,30.80251542012245,168.3158758272592,165.18491774304627,172.0,4.009664528024596,2.9366136378354244,12,low_range
3.162092098144754,6.883145826273164,176.45503562675574,177.2525848112361,33.0,2.601779880614387,2.8525924846572948,11,low_range
23.301098942814356,29.584240438805224,169.30567165711813,165.327581363289,177.0,2.2002428034397448,3.4631957069796466,12,low_range
25.53999104464069,34.745391516511745,171.52178831270402,169.8642943055137,176.0,3.18243797132886,2.7600920097715838,15,low_range
26.46591356376695,35.25301883873607,169.43207268565064,168.13311526718903,173.0,3.38094580892208,3.3881392624780986,12,low_range
4.919148120424154,7.341439000237706,177.62257595815717,175.38227568744642,38.0,1.2001190831060466,3.2090653789323844,14,low_range
