r_shoulder_range,l_shoulder_range,r_elbow_avg,l_elbow_avg,wrist_y_range,shoulder_asymmetry,torso_angle_mean,frames,label
43.54088326540396,39.41050746256525,164.1161253146174,161.2343053885388,211.0,0.0,1.8339435937750004,35,correct
37.01104702413346,51.95931873538489,164.96026407134997,161.61447536823235,207.0,0.2876918342093559,2.6422240490075524,25,correct
27.722700890502388,12.294161191396668,164.57274415995641,170.28396008571295,173.0,0.55653090079659,2.2281957986484175,27,correct
35.75643808820753,18.324226943137003,160.46947068901238,163.05678707075654,175.0,0.4875265008798421,2.828971128308844,24,correct
40.70022250710399,13.40486850670915,148.53783536536554,148.51770411413492,175.0,0.6706438520239193,2.972934837789213,25,correct
25.083335690846763,20.914946650617683,156.44115871457012,161.34571284349178,174.0,0.16618160724732395,2.916148486207043,28,correct
32.32343297059497,16.98591065625031,163.75312790828252,163.08565177054396,175.0,0.474501651117856,3.0560085192953683,24,correct
44.68834641066578,17.076608575167462,149.45448322030413,142.72619315083088,168.0,0.6178733395449203,3.025539066225151,26,correct
37.03201677458765,18.250798332796602,152.09361341729698,146.66552938601905,169.0,0.5071616422111587,2.991564030596171,26,correct
37.380497557345244,30.236524222797698,164.0167810663558,163.87837354573193,173.0,0.1911149877977951,3.588113483299796,22,correct
50.78300891425891,15.871200002004215,157.53390249551953,151.27858128465388,175.0,0.6874702712318433,3.3565058352247488,24,correct
48.391216297887226,14.349510102708553,164.2438554710145,159.65881117751803,169.0,0.7034687036098521,3.702104683258675,24,correct
67.32767824108957,17.400347322119703,164.40558839456537,161.75426225586168,185.0,0.7415572944634767,2.9925979732566215,22,correct
42.066155816422736,15.470989060892737,153.7278081756599,149.65487452740626,173.0,0.6322224182212337,3.4396871997900393,24,correct
35.02794746735997,19.6015379711208,149.35911241451763,143.41726440282613,167.0,0.440402895733869,3.861307081943985,27,correct
52.451171138413,22.90216533554529,147.57869270616274,139.45960380716042,182.0,0.5633621740283179,3.4887841372342145,28,correct
49.53749632470755,19.712140904106228,151.61362543634513,145.34174689181074,179.0,0.6020763589888068,3.61352676399633,28,correct
21.2399746558789,15.892159870228667,156.2040008086803,152.5803469075473,172.0,0.25178065757107854,3.4219270461659645,25,correct
31.55283017611245,14.323871553159051,149.23855496367557,142.66646531098013,170.0,0.5460352851642717,3.655380978298975,30,correct
41.993081753078016,16.61189169902834,159.28720397009837,156.97263416303187,175.0,0.6044136080150698,3.52720442435674,27,correct
36.746433312027584,18.02218641665797,154.79000092788328,149.39699994775677,175.0,0.5095527703702586,3.220807356915863,24,correct
53.46169196850399,21.123553290926253,156.86831495486683,146.7524135062876,169.0,0.6048843103699221,2.753023024601067,31,correct
45.046528953015326,20.313912549202456,149.05815084444257,138.62930905435553,173.0,0.549045997075815,3.1025923684524943,33,correct
43.40521872561206,20.38079181767334,155.72750473515393,155.12289207223023,179.0,0.5304529635822968,3.149879680867449,27,correct
52.0508639405625,15.515479992203483,145.31232005576388,139.30299399373556,179.0,0.70191695550105,2.597670863117046,34,correct
48.093127610329816,11.275087726762504,170.17097858026162,168.81127922399156,175.0,0.7655571952375841,2.6204001117925255,22,correct
49.44897540227696,16.55447736700737,148.49742126298702,140.5717654690108,176.0,0.6652210236444032,2.7676387103452407,32,correct
44.34249691898465,27.164680593719094,150.6502332243789,140.7327311875589,169.0,0.3873894687674005,3.068466869160528,16,correct
29.764806238832975,14.03215936133936,162.8791004613888,164.52580433161324,157.0,0.5285654054407332,3.0562695928156094,16,correct
39.5396705543008,10.478933825383532,158.10669980815388,154.1141904944022,166.0,0.734976703688197,2.6801370773767297,14,correct
41.681580515305235,24.79509612050325,152.12433800506932,142.72492982900837,170.0,0.4051306161147456,3.3358616573005353,22,correct
46.70855955964612,20.425289712380575,146.79117867015552,137.91353515008197,169.0,0.5627077797957397,3.109461659664438,21,correct
43.42066116219052,8.659337478748213,160.24008477746816,159.78097280443816,168.0,0.8005710358393041,2.2790357141038826,19,correct
41.398938398398485,19.030401430851732,152.24553919153877,141.56190522674353,177.0,0.540316680400966,2.6708109717857362,24,correct
36.72009268274937,30.524730138741162,154.9437348662401,149.83643519010835,176.0,0.1687185976771433,2.695034496504367,20,correct
50.45244802177507,20.579181177804756,145.94466952183055,130.71071561660983,171.0,0.59210738061862,3.177492342506125,21,correct
39.76000285208503,24.209065144225796,151.3598699813672,142.74692931785881,175.0,0.39112013562251885,2.5913933842083874,19,correct
50.96072381401906,69.42516505393974,143.7355938536791,136.7317671424153,180.0,0.26596179102454803,2.5739735598986857,17,correct
61.81041429375598,17.152595959685847,146.54279442060638,136.0855517071495,173.0,0.7224966673388148,2.7508554614496092,14,correct
38.64188144325841,24.18931784572996,147.50131514443441,138.32961866141096,176.0,0.3740129377176042,3.5236491813966566,12,correct
56.91683553481958,32.598579356253964,144.5279473722533,133.25958547744614,181.0,0.4272594558369048,2.9980644547795277,14,correct
36.36216543560055,25.540095871182935,152.38607299637522,150.04236719379628,175.0,0.2976189518631423,2.702283643444796,17,correct
36.88245433530959,22.413428654879706,148.245678315602,140.75040917555322,171.0,0.39230105320235953,3.143903478729917,16,correct
36.96559032001349,16.641822351718506,139.62519261456185,127.38494163327086,169.0,0.5498023375888447,2.4047409931806074,14,correct
9.086968685663797,7.078945493527854,170.47898351877654,164.89856901224297,68.0,0.22097833299502095,2.833603868714019,18,low_range
7.581555428187709,14.060630560379522,171.80573771122462,165.91382179616238,64.0,0.46079548882030585,2.577545876104632,20,low_range
6.6694301586160485,15.019934160559792,168.97369676451981,171.48084722018692,66.0,0.5559614251752832,2.608312912582728,23,low_range
10.345151274859258,11.610478832262693,171.5813825047021,171.93305110510482,60.0,0.10898151365535394,2.2859098407609393,20,low_range
8.58832193161545,8.612163188410591,172.8724605580988,177.2459749293173,44.0,0.0,1.969959002585356,20,low_range
8.719641752320218,13.417920832200302,170.39812586583287,172.39636747299608,66.0,0.35014956032570727,1.9177888746172278,22,low_range
8.461385883751245,10.432853818239678,170.65693470162185,171.68508250187855,61.0,0.18896727288958381,2.4428609558038734,21,low_range
7.085582095530842,14.035705406438968,168.44684637689934,172.6134165012999,68.0,0.4951744931693788,2.024615605715296,24,low_range
8.853950309821943,13.66069940705674,168.5838914407879,171.67973557205877,71.0,0.3518669838201522,2.4013065068991244,25,low_range
11.115394853106455,11.953681386219898,169.9856996440607,172.13873472615313,74.0,0.0,1.670595209066816,19,low_range
8.688089669882192,14.490991325035289,170.51489686943734,174.95502377614005,57.0,0.4004489082211886,1.263840630737155,18,low_range
8.19396702730598,9.357988376936632,174.98045120145815,171.42316366776296,65.0,0.12438798839496931,2.038551035919158,23,low_range
13.63639240749744,11.155952006798097,168.1741159639884,172.31085280417545,78.0,0.18189857893320585,2.3342145027255614,20,low_range
7.671232010058013,9.288824892231943,172.06688858040985,172.92247804710084,59.0,0.17414397417769073,1.8276626822154711,17,low_range
8.003359748397159,14.40957042587897,171.12582742167984,170.26235314906685,64.0,0.4445802677071158,1.9405529683784701,15,low_range
7.664701616505376,11.636456687872585,166.60986087760898,170.63843333248423,61.0,0.34131997204153547,1.8383608544935788,18,low_range
9.57657239705043,12.646264483773102,170.4402523827761,170.49024913355285,59.0,0.2427350851835741,1.5651509864809308,22,low_range
8.241037177247563,10.060447849309842,168.58204872922744,168.2452101242262,63.0,0.1808478806623994,1.8111769063992256,20,low_range
