r_wrist_y_range,l_wrist_y_range,hip_y_range,neck_hip_angle_mean,neck_forward_shift,frames,r_elbow_shoulder_dx_mean,l_elbow_shoulder_dx_mean,r_elbow_range,l_elbow_range,label
182.0,191.0,21.5,0.6988545693723061,0.24193548387096775,62,44.87096774193548,50.693548387096776,179.9852735752877,176.94118752677429,elbow_out_of_place
174.0,179.0,11.0,0.8524719939596885,-0.23148148148148148,54,38.351851851851855,44.166666666666664,161.79712996822903,157.74494024003815,elbow_out_of_place
153.0,156.0,16.5,0.8661674724536742,0.03636363636363636,55,42.89090909090909,44.945454545454545,167.95975352241638,172.33719895312655,elbow_out_of_place
169.0,172.0,9.5,0.8461076647157324,-0.27049180327868855,61,35.34426229508197,39.967213114754095,164.56153823771604,166.29767958578816,elbow_out_of_place
164.0,172.0,15.0,0.5977548166910874,0.9642857142857143,56,51.17857142857143,56.25,169.57652370854026,168.9096279498809,elbow_out_of_place
164.0,164.0,13.5,0.8062208806023349,0.4270833333333333,48,36.9375,43.5,170.20599404945654,178.2716781368733,elbow_out_of_place
192.0,192.0,9.0,0.8866914553411747,3.230769230769231,52,39.69230769230769,46.32692307692308,166.72621244974454,160.77671148182392,elbow_out_of_place
7.0,15.0,8.0,0.6715594368950799,-2.323529411764706,17,25.823529411764707,36.294117647058826,6.577177673023243,6.415229839169484,NA
181.0,168.0,18.0,0.982567105409928,0.9609375,64,16.5625,22.078125,177.53416563342802,178.8796817065789,NA
129.0,138.0,11.0,0.5575820181114557,0.2647058823529412,34,12.382352941176471,23.794117647058822,125.50560594782743,138.16124274868733,NA
178.0,174.0,14.5,0.6258733575509356,0.2978723404255319,47,16.48936170212766,21.893617021276597,163.37905923909855,178.0375952834213,NA
168.0,172.0,26.0,0.6570969493869635,0.4642857142857143,56,28.589285714285715,38.32142857142857,167.26776498643548,178.77942287623873,NA
